"title","replacement_cost","replacement_cost_standard"
"Closer Bang",12.99,"Low"
"Club Graffiti",12.99,"Low"
"Clue Grail",27.99,"High"
"Clueless Bucket",13.99,"Low"
"Clyde Theory",29.99,"High"
"Coast Rainbow",20.99,"Medium"
"Coldblooded Darling",27.99,"High"
"Color Philadelphia",19.99,"Medium"
"Coma Head",10.99,"Low"
"Comancheros Enemy",23.99,"Medium"
"Comforts Rush",19.99,"Medium"
"Command Darling",28.99,"High"
"Commandments Express",13.99,"Low"
"Coneheads Smoochy",12.99,"Low"
"Confessions Maguire",25.99,"High"
"Confidential Interview",13.99,"Low"
"Confused Candles",27.99,"High"
"Congeniality Quest",21.99,"Medium"
"Connecticut Tramp",20.99,"Medium"
"Connection Microcosmos",25.99,"High"
"Conquerer Nuts",14.99,"Low"
"Conspiracy Spirit",27.99,"High"
"Contact Anonymous",10.99,"Low"
"Control Anthem",9.99,"Low"
"Conversation Downhill",14.99,"Low"
"Core Suit",24.99,"High"
"Cowboy Doom",10.99,"Low"
"Craft Outfield",17.99,"Medium"
"Cranes Reservoir",12.99,"Low"
"Crazy Home",24.99,"High"
"Creatures Shakespeare",23.99,"Medium"
"Creepers Kane",23.99,"Medium"
"Crooked Frogmen",27.99,"High"
"Crossing Divorce",19.99,"Medium"
"Crossroads Casualties",20.99,"Medium"
"Crow Grease",22.99,"Medium"
"Crowds Telemark",16.99,"Medium"
"Cruelty Unforgiven",29.99,"High"
"Crusade Honey",27.99,"High"
"Crystal Breaking",22.99,"Medium"
"Cupboard Sinners",29.99,"High"
"Curtain Videotape",27.99,"High"
"Cyclone Family",18.99,"Medium"
"Daddy Pittsburgh",26.99,"High"
"Daisy Menagerie",9.99,"Low"
"Dalmations Sweden",25.99,"High"
"Dances None",22.99,"Medium"
"Dancing Fever",25.99,"High"
"Dangerous Uptown",26.99,"High"
"Dares Pluto",16.99,"Medium"
"Darkness War",24.99,"High"
"Darko Dorado",13.99,"Low"
"Darling Breaking",20.99,"Medium"
"Darn Forrester",14.99,"Low"
"Date Speed",19.99,"Medium"
"Daughter Madigan",13.99,"Low"
"Dawn Pond",27.99,"High"
"Day Unfaithful",16.99,"Medium"
"Dazed Punk",20.99,"Medium"
"Deceiver Betrayed",22.99,"Medium"
"Deep Crusade",20.99,"Medium"
"Deer Virginian",13.99,"Low"
"Deliverance Mulholland",9.99,"Low"
"Desert Poseidon",27.99,"High"
"Desire Alien",24.99,"High"
"Desperate Trainspotting",29.99,"High"
"Destination Jerk",19.99,"Medium"
"Destiny Saturday",20.99,"Medium"
"Details Packer",17.99,"Medium"
"Detective Vision",16.99,"Medium"
"Devil Desire",12.99,"Low"
"Diary Panic",20.99,"Medium"
"Dinosaur Secretary",27.99,"High"
"Dirty Ace",29.99,"High"
"Disciple Mother",17.99,"Medium"
"Disturbing Scarface",27.99,"High"
"Divide Monster",13.99,"Low"
"Divine Resurrection",19.99,"Medium"
"Divorce Shining",21.99,"Medium"
"Doctor Grail",29.99,"High"
"Dogma Family",16.99,"Medium"
"Dolls Rage",10.99,"Low"
"Donnie Alley",20.99,"Medium"
"Doom Dancing",13.99,"Low"
"Doors President",22.99,"Medium"
"Dorado Notting",26.99,"High"
"Double Wrath",28.99,"High"
"Doubtfire Labyrinth",16.99,"Medium"
"Downhill Enough",19.99,"Medium"
"Dozen Lion",20.99,"Medium"
"Dracula Crystal",26.99,"High"
"Dragon Squad",26.99,"High"
"Dragonfly Strangers",19.99,"Medium"
"Dream Pickup",18.99,"Medium"
"Drifter Commandments",18.99,"Medium"
"Driver Annie",11.99,"Low"
"Driving Polish",21.99,"Medium"
"Drop Waterfront",20.99,"Medium"
"Drumline Cyclone",14.99,"Low"
"Drums Dynamite",11.99,"Low"
"Duck Racer",15.99,"Low"
"Dude Blindness",9.99,"Low"
"Duffel Apocalypse",13.99,"Low"
"Dumbo Lust",17.99,"Medium"
"Durham Panky",14.99,"Low"
"Dwarfs Alter",13.99,"Low"
"Dying Maker",28.99,"High"
"Dynamite Tarzan",27.99,"High"
"Eagles Panky",14.99,"Low"
"Early Home",27.99,"High"
"Earring Instinct",22.99,"Medium"
"Earth Vision",29.99,"High"
"Easy Gladiator",12.99,"Low"
"Edge Kissing",9.99,"Low"
"Effect Gladiator",14.99,"Low"
"Egg Igby",20.99,"Medium"
"Egypt Tenenbaums",11.99,"Low"
"Element Freddy",28.99,"High"
"Elephant Trojan",24.99,"High"
"Elf Murder",19.99,"Medium"
"Elizabeth Shane",11.99,"Low"
"Empire Malkovich",26.99,"High"
"Encino Elf",9.99,"Low"
"Encounters Curtain",20.99,"Medium"
"Ending Crowds",10.99,"Low"
"Enemy Odds",23.99,"Medium"
"English Bulworth",18.99,"Medium"
"Enough Raging",16.99,"Medium"
"Entrapment Satisfaction",19.99,"Medium"
"Escape Metropolis",20.99,"Medium"
"Eve Resurrection",25.99,"High"
"Everyone Craft",29.99,"High"
"Evolution Alter",10.99,"Low"
"Excitement Eve",20.99,"Medium"
"Exorcist Sting",17.99,"Medium"
"Expecations Natural",26.99,"High"
"Expendable Stallion",14.99,"Low"
"Express Lonely",23.99,"Medium"
"Extraordinary Conquerer",29.99,"High"
"Eyes Driving",13.99,"Low"
"Factory Dragon",9.99,"Low"
"Falcon Volume",21.99,"Medium"
"Family Sweet",24.99,"High"
"Fantasia Park",29.99,"High"
"Fantasy Troopers",27.99,"High"
"Fargo Gandhi",28.99,"High"
"Fatal Haunted",24.99,"High"
"Feathers Metal",12.99,"Low"
"Fellowship Autumn",9.99,"Low"
"Ferris Mother",13.99,"Low"
"Feud Frogmen",29.99,"High"
"Fever Empire",20.99,"Medium"
"Fiction Christmas",14.99,"Low"
"Fiddler Lost",20.99,"Medium"
"Fidelity Devil",11.99,"Low"
"Fight Jawbreaker",13.99,"Low"
"Finding Anaconda",10.99,"Low"
"Fire Wolves",18.99,"Medium"
"Fireball Philadelphia",25.99,"High"
"Firehouse Vietnam",14.99,"Low"
"Fish Opus",22.99,"Medium"
"Flamingos Connecticut",28.99,"High"
"Flash Wars",21.99,"Medium"
"Flatliners Killer",29.99,"High"
"Flight Lies",22.99,"Medium"
"Flintstones Happiness",11.99,"Low"
"Floats Garden",29.99,"High"
"Flying Hook",18.99,"Medium"
"Fool Mockingbird",24.99,"High"
"Forever Candidate",28.99,"High"
"Forrest Sons",15.99,"Low"
"Forrester Comancheros",22.99,"Medium"
"Forward Temple",25.99,"High"
"Frankenstein Stranger",16.99,"Medium"
"Freaky Pocus",16.99,"Medium"
"Freddy Storm",21.99,"Medium"
"Freedom Cleopatra",23.99,"Medium"
"French Holiday",22.99,"Medium"
"Frida Slipper",11.99,"Low"
"Frisco Forrest",23.99,"Medium"
"Frogmen Breaking",17.99,"Medium"
"Frontier Cabin",14.99,"Low"
"Frost Head",13.99,"Low"
"Fugitive Maguire",28.99,"High"
"Full Flatliners",14.99,"Low"
"Fury Murder",28.99,"High"
"Gables Metropolis",17.99,"Medium"
"Galaxy Sweethearts",13.99,"Low"
"Games Bowfinger",17.99,"Medium"
"Gandhi Kwai",9.99,"Low"
"Gangs Pride",27.99,"High"
"Garden Island",21.99,"Medium"
"Gaslight Crusade",10.99,"Low"
"Gathering Calendar",22.99,"Medium"
"Gentlemen Stage",22.99,"Medium"
"Ghost Groundhog",18.99,"Medium"
"Ghostbusters Elf",18.99,"Medium"
"Giant Troopers",10.99,"Low"
"Gilbert Pelican",13.99,"Low"
"Gilmore Boiled",29.99,"High"
"Gladiator Westward",20.99,"Medium"
"Glass Dying",24.99,"High"
"Gleaming Jawbreaker",25.99,"High"
"Glory Tracy",13.99,"Low"
"Go Purple",12.99,"Low"
"Godfather Diary",14.99,"Low"
"Gold River",21.99,"Medium"
"Goldfinger Sensibility",29.99,"High"
"Goldmine Tycoon",20.99,"Medium"
"Gone Trouble",20.99,"Medium"
"Goodfellas Salute",22.99,"Medium"
"Gorgeous Bingo",26.99,"High"
"Gosford Donnie",17.99,"Medium"
"Graceland Dynamite",26.99,"High"
"Graduate Lord",14.99,"Low"
"Graffiti Love",29.99,"High"
"Grail Frankenstein",17.99,"Medium"
"Grapes Fury",20.99,"Medium"
"Grease Youth",20.99,"Medium"
"Greatest North",24.99,"High"
"Greedy Roots",14.99,"Low"
"Greek Everyone",11.99,"Low"
"Grinch Massage",25.99,"High"
"Grit Clockwork",21.99,"Medium"
"Groove Fiction",13.99,"Low"
"Grosse Wonderful",19.99,"Medium"
"Groundhog Uncut",26.99,"High"
"Gump Date",12.99,"Low"
"Gun Bonnie",27.99,"High"
"Gunfight Moon",16.99,"Medium"
"Gunfighter Mussolini",9.99,"Low"
"Guys Falcon",20.99,"Medium"
"Half Outfield",25.99,"High"
"Hall Cassidy",13.99,"Low"
"Halloween Nuts",19.99,"Medium"
"Hamlet Wisdom",21.99,"Medium"
"Handicap Boondock",28.99,"High"
"Hanging Deep",18.99,"Medium"
"Hanky October",26.99,"High"
"Hanover Galaxy",21.99,"Medium"
"Happiness United",23.99,"Medium"
"Hardly Robbers",15.99,"Low"
"Harold French",10.99,"Low"
"Harper Dying",15.99,"Low"
"Harry Idaho",18.99,"Medium"
"Hate Handicap",26.99,"High"
"Haunted Antitrust",13.99,"Low"
"Haunting Pianist",22.99,"Medium"
"Hawk Chill",12.99,"Low"
"Head Stranger",28.99,"High"
"Heartbreakers Bright",9.99,"Low"
"Heaven Freedom",19.99,"Medium"
"Heavenly Gun",13.99,"Low"
"Heavyweights Beast",25.99,"High"
"Hedwig Alter",16.99,"Medium"
"Hellfighters Sierra",23.99,"Medium"
"High Encino",23.99,"Medium"
"Highball Potter",10.99,"Low"
"Hills Neighbors",29.99,"High"
"Hobbit Alien",27.99,"High"
"Hocus Frida",19.99,"Medium"
"Holes Brannigan",27.99,"High"
"Holiday Games",10.99,"Low"
"Hollow Jeopardy",25.99,"High"
"Hollywood Anonymous",29.99,"High"
"Holocaust Highball",12.99,"Low"
"Holy Tadpole",20.99,"Medium"
"Home Pity",15.99,"Low"
"Homeward Cider",19.99,"Medium"
"Homicide Peach",21.99,"Medium"
"Honey Ties",29.99,"High"
"Hook Chariots",23.99,"Medium"
"Hoosiers Birdcage",12.99,"Low"
"Hope Tootsie",22.99,"Medium"
"Horn Working",23.99,"Medium"
"Horror Reign",25.99,"High"
"Hotel Happiness",28.99,"High"
"Hours Rage",14.99,"Low"
"House Dynamite",13.99,"Low"
"Human Graffiti",22.99,"Medium"
"Hunchback Impossible",28.99,"High"
"Hunger Roof",21.99,"Medium"
"Hunter Alter",21.99,"Medium"
"Hunting Musketeers",24.99,"High"
"Hurricane Affair",11.99,"Low"
"Hustler Party",22.99,"Medium"
"Hyde Doctor",11.99,"Low"
"Hysterical Grail",19.99,"Medium"
"Ice Crossing",28.99,"High"
"Idaho Love",25.99,"High"
"Identity Lover",12.99,"Low"
"Idols Snatchers",29.99,"High"
"Igby Maker",12.99,"Low"
"Illusion Amelie",15.99,"Low"
"Image Princess",17.99,"Medium"
"Impact Aladdin",20.99,"Medium"
"Impossible Prejudice",11.99,"Low"
"Inch Jet",18.99,"Medium"
"Independence Hotel",21.99,"Medium"
"Indian Love",26.99,"High"
"Informer Double",23.99,"Medium"
"Innocent Usual",26.99,"High"
"Insects Stone",14.99,"Low"
"Insider Arizona",17.99,"Medium"
"Instinct Airport",21.99,"Medium"
"Intentions Empire",13.99,"Low"
"Interview Liaisons",17.99,"Medium"
"Intolerable Intentions",20.99,"Medium"
"Intrigue Worst",10.99,"Low"
"Invasion Cyclone",12.99,"Low"
"Iron Moon",27.99,"High"
"Ishtar Rocketeer",24.99,"High"
"Island Exorcist",23.99,"Medium"
"Italian African",24.99,"High"
"Jacket Frisco",16.99,"Medium"
"Jade Bunch",21.99,"Medium"
"Japanese Run",29.99,"High"
"Jason Trap",9.99,"Low"
"Jawbreaker Brooklyn",15.99,"Low"
"Jaws Harry",10.99,"Low"
"Jedi Beneath",12.99,"Low"
"Jeepers Wedding",29.99,"High"
"Jekyll Frogmen",22.99,"Medium"
"Jeopardy Encino",12.99,"Low"
"Jericho Mulan",29.99,"High"
"Jerk Paycheck",13.99,"Low"
"Jersey Sassy",16.99,"Medium"
"Jet Neighbors",14.99,"Low"
"Jingle Sagebrush",29.99,"High"
"Joon Northwest",23.99,"Medium"
"Juggler Hardly",14.99,"Low"
"Jumanji Blade",13.99,"Low"
"Jumping Wrath",18.99,"Medium"
"Jungle Closer",11.99,"Low"
"Kane Exorcist",18.99,"Medium"
"Karate Moon",21.99,"Medium"
"Kentuckian Giant",10.99,"Low"
"Kick Savannah",10.99,"Low"
"Kill Brotherhood",15.99,"Low"
"Killer Innocent",11.99,"Low"
"King Evolution",24.99,"High"
"Kiss Glory",11.99,"Low"
"Kissing Dolls",9.99,"Low"
"Knock Warlock",21.99,"Medium"
"Kramer Chocolate",24.99,"High"
"Kwai Homeward",25.99,"High"
"Labyrinth League",24.99,"High"
"Lady Stage",14.99,"Low"
"Ladybugs Armageddon",13.99,"Low"
"Lambs Cincinatti",18.99,"Medium"
"Language Cowboy",26.99,"High"
"Lawless Vision",29.99,"High"
"Lawrence Love",23.99,"Medium"
"League Hellfighters",25.99,"High"
"Leathernecks Dwarfs",21.99,"Medium"
"Lebowski Soldiers",17.99,"Medium"
"Legally Secretary",14.99,"Low"
"Legend Jedi",18.99,"Medium"
"Lesson Cleopatra",28.99,"High"
"Liaisons Sweet",15.99,"Low"
"Liberty Magnificent",27.99,"High"
"License Weekend",28.99,"High"
"Lies Treatment",28.99,"High"
"Life Twisted",9.99,"Low"
"Lights Deer",21.99,"Medium"
"Lion Uncut",13.99,"Low"
"Loathing Legally",29.99,"High"
"Lock Rear",10.99,"Low"
"Lola Agent",24.99,"High"
"Lolita World",25.99,"High"
"Lonely Elephant",12.99,"Low"
"Lord Arizona",27.99,"High"
"Lose Inch",18.99,"Medium"
"Loser Hustler",28.99,"High"
"Lost Bird",21.99,"Medium"
"Louisiana Harry",18.99,"Medium"
"Love Suicides",21.99,"Medium"
"Lovely Jingle",18.99,"Medium"
"Lover Truman",29.99,"High"
"Loverboy Attacks",19.99,"Medium"
"Luck Opus",21.99,"Medium"
"Lucky Flying",10.99,"Low"
"Luke Mummy",21.99,"Medium"
"Lust Lock",28.99,"High"
"Madigan Dorado",20.99,"Medium"
"Madison Trap",11.99,"Low"
"Madness Attacks",14.99,"Low"
"Madre Gables",27.99,"High"
"Magic Mallrats",19.99,"Medium"
"Magnificent Chitty",27.99,"High"
"Magnolia Forrester",28.99,"High"
"Maguire Apache",22.99,"Medium"
"Maiden Home",9.99,"Low"
"Majestic Floats",15.99,"Low"
"Maker Gables",12.99,"Low"
"Malkovich Pet",22.99,"Medium"
"Mallrats United",25.99,"High"
"Maltese Hope",26.99,"High"
"Manchurian Curtain",27.99,"High"
"Mannequin Worst",18.99,"Medium"
"Married Go",22.99,"Medium"
"Mars Roman",21.99,"Medium"
"Mask Peach",26.99,"High"
"Masked Bubble",12.99,"Low"
"Massacre Usual",16.99,"Medium"
"Massage Image",11.99,"Low"
"Matrix Snowman",9.99,"Low"
"Maude Mod",20.99,"Medium"
"Meet Chocolate",26.99,"High"
"Memento Zoolander",11.99,"Low"
"Menagerie Rushmore",18.99,"Medium"
"Mermaid Insects",20.99,"Medium"
"Metal Armageddon",26.99,"High"
"Metropolis Coma",9.99,"Low"
"Microcosmos Paradise",22.99,"Medium"
"Midnight Westward",19.99,"Medium"
"Midsummer Groundhog",27.99,"High"
"Mighty Luck",13.99,"Low"
"Mile Mulan",10.99,"Low"
"Million Ace",16.99,"Medium"
"Minds Truman",22.99,"Medium"
"Mine Titans",12.99,"Low"
"Minority Kiss",16.99,"Medium"
"Miracle Virtual",19.99,"Medium"
"Mission Zoolander",26.99,"High"
"Mixed Doors",26.99,"High"
"Mob Duffel",25.99,"High"
"Mockingbird Hollywood",27.99,"High"
"Mod Secretary",20.99,"Medium"
"Model Fish",11.99,"Low"
"Modern Dorado",20.99,"Medium"
"Money Harold",17.99,"Medium"
"Monsoon Cause",20.99,"Medium"
"Monster Spartacus",28.99,"High"
"Monterey Labyrinth",13.99,"Low"
"Montezuma Command",22.99,"Medium"
"Moon Bunch",20.99,"Medium"
"Moonshine Cabin",25.99,"High"
"Moonwalker Fool",12.99,"Low"
"Mosquito Armageddon",22.99,"Medium"
"Mother Oleander",20.99,"Medium"
"Motions Details",16.99,"Medium"
"Moulin Wake",20.99,"Medium"
"Mourning Purple",14.99,"Low"
"Movie Shakespeare",27.99,"High"
"Mulan Moon",10.99,"Low"
"Mulholland Beast",13.99,"Low"
"Mummy Creatures",15.99,"Low"
"Muppet Mile",18.99,"Medium"
"Murder Antitrust",11.99,"Low"
"Muscle Bright",23.99,"Medium"
"Music Boondock",17.99,"Medium"
"Musketeers Wait",17.99,"Medium"
"Mussolini Spoilers",10.99,"Low"
"Mystic Truman",19.99,"Medium"
"Name Detective",11.99,"Low"
"Nash Chocolat",21.99,"Medium"
"National Story",19.99,"Medium"
"Natural Stock",24.99,"High"
"Necklace Outbreak",21.99,"Medium"
"Neighbors Charade",20.99,"Medium"
"Nemo Campus",23.99,"Medium"
"Network Peak",23.99,"Medium"
"Newsies Story",25.99,"High"
"Newton Labyrinth",9.99,"Low"
"Nightmare Chill",25.99,"High"
"None Spiking",18.99,"Medium"
"Noon Papi",12.99,"Low"
"North Tequila",9.99,"Low"
"Northwest Polish",24.99,"High"
"Notorious Reunion",9.99,"Low"
"Notting Speakeasy",19.99,"Medium"
"Novocaine Flight",11.99,"Low"
"Nuts Ties",10.99,"Low"
"October Submarine",10.99,"Low"
"Odds Boogie",14.99,"Low"
"Oklahoma Jumanji",15.99,"Low"
"Oleander Clue",12.99,"Low"
"Open African",16.99,"Medium"
"Operation Operation",23.99,"Medium"
"Opposite Necklace",9.99,"Low"
"Opus Ice",21.99,"Medium"
"Orange Grapes",21.99,"Medium"
"Order Betrayed",13.99,"Low"
"Orient Closer",22.99,"Medium"
"Oscar Gold",29.99,"High"
"Others Soup",18.99,"Medium"
"Outbreak Divine",12.99,"Low"
"Outfield Massacre",18.99,"Medium"
"Outlaw Hanky",17.99,"Medium"
"Oz Liaisons",14.99,"Low"
"Pacific Amistad",27.99,"High"
"Packer Madigan",20.99,"Medium"
"Pajama Jawbreaker",14.99,"Low"
"Panic Club",15.99,"Low"
"Panky Submarine",19.99,"Medium"
"Panther Reds",22.99,"Medium"
"Papi Necklace",9.99,"Low"
"Paradise Sabrina",12.99,"Low"
"Paris Weekend",19.99,"Medium"
"Park Citizen",14.99,"Low"
"Party Knock",11.99,"Low"
"Past Suicides",17.99,"Medium"
"Paths Control",9.99,"Low"
"Patient Sister",29.99,"High"
"Patriot Roman",12.99,"Low"
"Patton Interview",22.99,"Medium"
"Paycheck Wait",27.99,"High"
"Peach Innocent",20.99,"Medium"
"Peak Forever",25.99,"High"
"Pearl Destiny",10.99,"Low"
"Pelican Comforts",17.99,"Medium"
"Perdition Fargo",27.99,"High"
"Perfect Groove",17.99,"Medium"
"Personal Ladybugs",19.99,"Medium"
"Pet Haunting",11.99,"Low"
"Phantom Glory",17.99,"Medium"
"Philadelphia Wife",16.99,"Medium"
"Pianist Outfield",25.99,"High"
"Pickup Driving",23.99,"Medium"
"Pilot Hoosiers",17.99,"Medium"
"Pinocchio Simon",21.99,"Medium"
"Pirates Roxanne",20.99,"Medium"
"Pittsburgh Hunchback",17.99,"Medium"
"Pity Bound",19.99,"Medium"
"Pizza Jumanji",11.99,"Low"
"Platoon Instinct",10.99,"Low"
"Pluto Oleander",9.99,"Low"
"Pocus Pulp",15.99,"Low"
"Polish Brooklyn",12.99,"Low"
"Pollock Deliverance",14.99,"Low"
"Pond Seattle",25.99,"High"
"Poseidon Forever",29.99,"High"
"Potluck Mixed",10.99,"Low"
"Potter Connecticut",16.99,"Medium"
"Prejudice Oleander",15.99,"Low"
"President Bang",12.99,"Low"
"Pride Alamo",20.99,"Medium"
"Primary Glass",16.99,"Medium"
"Princess Giant",29.99,"High"
"Private Drop",26.99,"High"
"Prix Undefeated",13.99,"Low"
"Psycho Shrunk",11.99,"Low"
"Pulp Beverly",12.99,"Low"
"Punk Divorce",18.99,"Medium"
"Pure Runner",25.99,"High"
"Purple Movie",9.99,"Low"
"Queen Luke",22.99,"Medium"
"Quest Mussolini",29.99,"High"
"Quills Bull",19.99,"Medium"
"Racer Egg",19.99,"Medium"
"Rage Games",18.99,"Medium"
"Raging Airplane",18.99,"Medium"
"Raiders Antitrust",11.99,"Low"
"Rainbow Shock",14.99,"Low"
"Random Go",29.99,"High"
"Range Moonwalker",25.99,"High"
"Reap Unfaithful",26.99,"High"
"Rear Trading",23.99,"Medium"
"Rebel Airport",24.99,"High"
"Records Zorro",11.99,"Low"
"Redemption Comforts",20.99,"Medium"
"Reds Pocus",23.99,"Medium"
"Reef Salute",26.99,"High"
"Reign Gentlemen",29.99,"High"
"Remember Diary",15.99,"Low"
"Requiem Tycoon",25.99,"High"
"Reservoir Adaptation",29.99,"High"
"Resurrection Silverado",12.99,"Low"
"Reunion Witches",26.99,"High"
"Rider Caddyshack",28.99,"High"
"Ridgemont Submarine",28.99,"High"
"Right Cranes",29.99,"High"
"Rings Heartbreakers",17.99,"Medium"
"River Outlaw",29.99,"High"
"Road Roxanne",12.99,"Low"
"Robbers Joon",26.99,"High"
"Robbery Bright",21.99,"Medium"
"Rock Instinct",28.99,"High"
"Rocketeer Mother",27.99,"High"
"Rocky War",17.99,"Medium"
"Rollercoaster Bringing",13.99,"Low"
"Roman Punk",28.99,"High"
"Roof Champion",25.99,"High"
"Room Roman",27.99,"High"
"Roots Remember",23.99,"Medium"
"Roses Treasure",23.99,"Medium"
"Rouge Squad",10.99,"Low"
"Roxanne Rebel",9.99,"Low"
"Rugrats Shakespeare",16.99,"Medium"
